name,prompt,negative_prompt
______Base PN______,"half-length portrait of a female 30yo, look at viewer",
AnimeXL Base,"ultra-detailed,(best quality),((masterpiece)),(highres),original,extremely detailed 8K wallpaper,(an extremely delicate and beautiful),
anime,

BREAK","cover eyes,(bad anatomy:1.5),bad hands,missing fingers,extra digit,fewer digits,3D,extra arms,extra hand,extra legs,extra finger,"
AnimeXL Base2,"ultra-detailed,(best quality),((masterpiece)),(highres),original,extremely detailed 8K wallpaper,(an extremely delicate and beautiful), anime,
BREAK","drawing,painting,crayon,sketch,graphite,impressionist,noisy,blurry,soft,deformed,uglylongbody,lowres,bad anatomy,bad hands,missing fingers,pubic hair,extra digit,fewer digits,cropped,worst quality,low quality,"
AnimeXL Base3,"masterpiece, best quality, hires, ultra detail, Ink splatter art, ral-dissolve, anime 

BREAK","bad quality, bad anatomy, worst quality, low quality, low resolution, extra fingers, blur, blurry,
ugly, wrong proportions, watermark, image artifacts, lowres, ugly, jpeg artifacts, deformed, noisy image, abnormal, fog, words, writing"
AnimeXL Base4,"ultra-detailed,(best quality),((masterpiece)),(highres),original,extremely detailed 8K wallpaper,(an extremely delicate and beautiful),
anime,

BREAK","cover eyes,(bad anatomy:1.5),bad hands,missing fingers,extra digit,fewer digits,3D,extra arms,extra hand,extra legs,extra finger,"
AnimeXL Base4(SXL),"anime artwork, anime style, key visual, vibrant, studio anime, abstract background, highly detailed

BREAK
","photo, deformed, black and white, realism, disfigured, low contrast, hands"
